estar,estoy, estás,está,estamos,estáis,están
ser,soy,eres,es,somos,sois,son
tener,tengo,teneis,tiene,tenemos,tenéis,tienen
ir,voy,vas,va,vamos,vais,van
querer,quiero,quieres,quiere,queremos,queréis,quieren
poder,puedo,puedes,puede,podemos,podéis,pueden
servir,sirvo,sirves,sirve,servimos,servís,sirven
venir,vengo,vienes,viene,vinimos,venís,vienen
decir,digo,dices,dice,decimos,decís,dicen
dar,doy,das,da,damos,dais,dan
oír,oigo,oyes,oye,oímos,oís,oyen
ver,veo,ves,ve,vemos,veis,ven
hacer,hago,haces,hace,hacemos,hacéis,hacen
poner,pongo,pones,pone,ponemos,ponéis,ponen
estudiar,estudio,estudias,estudia,estudiamos,estudiáis,estudian
tomar,tomo,tomas,toma,tomamos,tomáis,toman
hablar,hablo,hablas,habla,hablamos,habláis,hablan
comer,como,comes,come,comemos,coméis,comen
vivir,vivo,vives,vive,vivimos,vivís,viven
vender,vendo,vendes,vende,vendemos,vendéis,venden
abrir,abro,abres,abre,abrimos,abrís,abren
aprender,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden
entrar,entraro,entras,entra,entramos,entráis,entran
mirar,miro,miras,mira,miramos,miráis,miran
lavar,lavo,lavas,lava,lavamos,laváis,lavan
gustar,gusto,gustas,gusta,gustamos,gustáis,gustan
llamar,llamo,llamas,llama,llamamos,llamáis,llaman
usar,uso,usas,usa,usamos,usáis,usan
leer,leo,lees,lee,leemos,leéis,leen
correr,corro,corres,corre,corremos,corréis,corren
permitir,permito,permites,permite,permitimos,permitís,permiten
