estaré,estarás,estará,estaremos,estaréis,estarán
seré,serás,será,seremos,seréis,serán
tendré,tendrás,tendrá,tendremos,tendréis,tendrán
iré,irás,irá,iremos,iréis,irán
querré,querrás,querrá,querremos,querréis,querrán
podré,podrás,podrá,podremos,podréis,podrán
serviré,servirás,servirá,serviremos,serviréis,servirán
vendré,vendrás,vendrá,vendremos,vendréis,vendrán
diré,dirás,dirá,diremos,diréis,dirán
daré,darás,dará,daremos,daréis,darán
oiré,oirás,oirá,oiremos,oiréis,oirán
veré,verás,verá,veremos,veréis,verán
haré,harás,hará,haremos,haréis,harán
estudiaré,estudiarás,estudiará,estudiaremos,estudiaréis,estudiarán
tomaré,tomarás,tomará,tomaremos,tomaréis,tomarán
hablaré,hablarás,hablará,hablaremos,hablaréis,hablarán
comeré,comerás,comerá,comeremos,comeréis,comerán
viviré,vivirás,vivirá,viviremos,viviréis,vivirán
venderé,venderás,venderá,venderemos,venderéis,venderán
abriré,abrirás,abrirá,abriremos,abriréis,abrirán
aprenderé,aprenderás,aprenderá,aprenderemos,aprenderéis,aprenderán
entraré,entrarás,entrará,entraremos,entraréis,entrarán
miraré,mirarás,mirará,miraremos,miraréis,mirarán
lavaré,lavarás,lavará,lavaremos,lavaréis,lavarán
gustaré,gustarás,gustará,gustaremos,gustaréis,gustarán
llamaré,llamarás,llamará,llamaremos,llamaréis,llamarán
usaré,usarás,usará,usaremos,usaréis,usarán
leeré,leerás,leerá,leeremos,leeréis,leerán
correré,correrás,correrá,correremos,correréis,correrán
permitiré,permitirás,permitirá,permitiremos,permitiréis,permitirán
